date,day,meal_type,menu_items,total_strength,actual_attendance
2023-01-10,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,9251
2023-01-10,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,9596
2023-01-10,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,7818
2023-01-10,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,10224
2023-01-11,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,11178
2023-01-11,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-01-11,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7063
2023-01-11,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,12675
2023-01-12,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6784
2023-01-12,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-01-12,Thursday,Snack,"Veg Maggi, Frooti",14172,8245
2023-01-12,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,12065
2023-01-13,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9169
2023-01-13,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,13443
2023-01-13,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7915
2023-01-13,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8475
2023-01-14,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,10139
2023-01-14,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6455
2023-01-14,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,6199
2023-01-14,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11737
2023-01-15,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,11293
2023-01-15,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,12922
2023-01-15,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7551
2023-01-15,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13761
2023-01-16,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,11035
2023-01-16,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,12680
2023-01-16,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7673
2023-01-16,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,10350
2023-01-17,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,9074
2023-01-17,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,8708
2023-01-17,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,8105
2023-01-17,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11614
2023-01-18,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,9900
2023-01-18,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13701
2023-01-18,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6536
2023-01-18,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,12102
2023-01-19,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,7174
2023-01-19,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-01-19,Thursday,Snack,"Veg Maggi, Frooti",14172,8197
2023-01-19,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,10720
2023-01-20,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9005
2023-01-20,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,13557
2023-01-20,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7038
2023-01-20,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8029
2023-01-21,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,10359
2023-01-21,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6849
2023-01-21,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,6198
2023-01-21,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,12231
2023-01-22,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,11451
2023-01-22,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,12503
2023-01-22,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,6902
2023-01-22,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13114
2023-01-23,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,11073
2023-01-23,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11753
2023-01-23,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7771
2023-01-23,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9240
2023-01-24,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,9563
2023-01-24,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,9331
2023-01-24,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,8910
2023-01-24,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,9939
2023-01-25,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,9431
2023-01-25,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-01-25,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7659
2023-01-25,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,11859
2023-01-26,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6639
2023-01-26,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,12652
2023-01-26,Thursday,Snack,"Veg Maggi, Frooti",14172,8561
2023-01-26,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,12813
2023-01-27,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,10150
2023-01-27,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,13888
2023-01-27,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7591
2023-01-27,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8947
2023-01-28,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,9443
2023-01-28,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6863
2023-01-28,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5715
2023-01-28,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,12360
2023-01-29,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,10245
2023-01-29,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,12836
2023-01-29,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7764
2023-01-29,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13888
2023-01-30,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10199
2023-01-30,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,10957
2023-01-30,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7838
2023-01-30,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9653
2023-01-31,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8182
2023-01-31,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,10470
2023-01-31,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,7576
2023-01-31,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11936
2023-02-01,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,9400
2023-02-01,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-02-01,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6779
2023-02-01,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,12603
2023-02-02,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6943
2023-02-02,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13199
2023-02-02,Thursday,Snack,"Veg Maggi, Frooti",14172,7915
2023-02-02,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,11031
2023-02-03,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,8966
2023-02-03,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,12391
2023-02-03,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7569
2023-02-03,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,9249
2023-02-04,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,9877
2023-02-04,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6395
2023-02-04,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5532
2023-02-04,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,12193
2023-02-05,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,10385
2023-02-05,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,11660
2023-02-05,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7746
2023-02-05,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13212
2023-02-06,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10368
2023-02-06,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11672
2023-02-06,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7706
2023-02-06,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,8745
2023-02-07,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8717
2023-02-07,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,9828
2023-02-07,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,8485
2023-02-07,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11724
2023-02-08,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,11166
2023-02-08,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-02-08,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7294
2023-02-08,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,13378
2023-02-09,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6611
2023-02-09,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-02-09,Thursday,Snack,"Veg Maggi, Frooti",14172,7693
2023-02-09,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,11202
2023-02-10,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9010
2023-02-10,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,12037
2023-02-10,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,6798
2023-02-10,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8349
2023-02-11,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,9839
2023-02-11,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6518
2023-02-11,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5963
2023-02-11,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,10446
2023-02-12,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,11431
2023-02-12,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,13766
2023-02-12,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7232
2023-02-12,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13888
2023-02-13,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,9602
2023-02-13,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11819
2023-02-13,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7398
2023-02-13,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9409
2023-02-14,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8704
2023-02-14,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,10142
2023-02-14,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,7903
2023-02-14,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11571
2023-02-15,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,10320
2023-02-15,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-02-15,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6572
2023-02-15,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,11764
2023-02-16,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6943
2023-02-16,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13109
2023-02-16,Thursday,Snack,"Veg Maggi, Frooti",14172,7312
2023-02-16,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,12467
2023-02-17,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9218
2023-02-17,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,12668
2023-02-17,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7932
2023-02-17,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,7708
2023-02-18,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,9929
2023-02-18,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6954
2023-02-18,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5536
2023-02-18,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,10672
2023-02-19,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,9835
2023-02-19,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,13552
2023-02-19,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7416
2023-02-19,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,12738
2023-02-20,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10135
2023-02-20,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,12370
2023-02-20,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,8719
2023-02-20,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,8484
2023-02-21,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,9091
2023-02-21,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,9761
2023-02-21,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,7946
2023-02-21,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11385
2023-02-22,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,9424
2023-02-22,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-02-22,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7045
2023-02-22,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,11753
2023-02-23,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6517
2023-02-23,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,12540
2023-02-23,Thursday,Snack,"Veg Maggi, Frooti",14172,8487
2023-02-23,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,12022
2023-02-24,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9568
2023-02-24,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,13089
2023-02-24,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7402
2023-02-24,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,9262
2023-02-25,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,9501
2023-02-25,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,7024
2023-02-25,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5653
2023-02-25,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11999
2023-02-26,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,10360
2023-02-26,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,11751
2023-02-26,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7313
2023-02-26,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,12503
2023-02-27,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10057
2023-02-27,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,10620
2023-02-27,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7972
2023-02-27,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,8789
2023-02-28,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8527
2023-02-28,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,9022
2023-02-28,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,8761
2023-02-28,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,10482
2023-03-01,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,10536
2023-03-01,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-03-01,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6896
2023-03-01,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,13746
2023-03-02,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6898
2023-03-02,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,12895
2023-03-02,Thursday,Snack,"Veg Maggi, Frooti",14172,7542
2023-03-02,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,12904
2023-03-03,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,8814
2023-03-03,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,12664
2023-03-03,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,6873
2023-03-03,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8019
2023-03-04,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,10075
2023-03-04,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6792
2023-03-04,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5312
2023-03-04,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11758
2023-03-05,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,10505
2023-03-05,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,13586
2023-03-05,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7631
2023-03-05,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13663
2023-03-06,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10669
2023-03-06,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,10829
2023-03-06,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7674
2023-03-06,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9301
2023-03-07,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8290
2023-03-07,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,10066
2023-03-07,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,8431
2023-03-07,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,9907
2023-03-08,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,10331
2023-03-08,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-03-08,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7358
