date,day,meal_type,total_strength,actual_attendance
2019-05-05,Sunday,snacks,14172,2460
2019-05-05,Sunday,dinner,14172,7536
2019-05-06,Monday,breakfast,14172,6796
2019-05-06,Monday,lunch,14172,10346
2019-05-06,Monday,snacks,14172,6901
2019-05-06,Monday,dinner,14172,9206
2019-05-07,Tuesday,breakfast,14172,8641
2019-05-07,Tuesday,lunch,14172,11244
2019-05-07,Tuesday,snacks,14172,5925
2019-05-07,Tuesday,dinner,14172,10470
2019-05-08,Wednesday,breakfast,14172,8949
2019-05-08,Wednesday,lunch,14172,9417
2019-05-08,Wednesday,snacks,14172,5347
2019-05-08,Wednesday,dinner,14172,10955
2019-05-09,Thursday,breakfast,14172,8759
2019-05-09,Thursday,lunch,14172,10199
2019-05-09,Thursday,snacks,14172,4777
2019-05-09,Thursday,dinner,14172,10199
2019-05-10,Friday,breakfast,14172,7117
2019-05-10,Friday,lunch,14172,11728
2019-05-10,Friday,snacks,14172,4713
2019-05-10,Friday,dinner,14172,9357
2019-05-11,Saturday,breakfast,14172,5751
2019-05-11,Saturday,lunch,14172,8134
2019-05-11,Saturday,snacks,14172,4193
2019-05-11,Saturday,dinner,14172,5546
2019-05-12,Sunday,breakfast,14172,5923
2019-05-12,Sunday,lunch,14172,5945
2019-05-12,Sunday,snacks,14172,4513
2019-05-12,Sunday,dinner,14172,7375
2019-05-13,Monday,breakfast,14172,7679
2019-05-13,Monday,lunch,14172,9290
2019-05-13,Monday,snacks,14172,4257
2019-05-13,Monday,dinner,14172,10630
2019-05-14,Tuesday,breakfast,14172,7065
2019-05-14,Tuesday,lunch,14172,11480
2019-05-14,Tuesday,snacks,14172,6076
2019-05-14,Tuesday,dinner,14172,10554
2019-05-15,Wednesday,breakfast,14172,6377
2019-05-15,Wednesday,lunch,14172,9832
2019-05-15,Wednesday,snacks,14172,4325
2019-05-15,Wednesday,dinner,14172,8853
2019-05-16,Thursday,breakfast,14172,7996
2019-05-16,Thursday,lunch,14172,11013
2019-05-16,Thursday,snacks,14172,5150
2019-05-16,Thursday,dinner,14172,10912
2019-05-17,Friday,breakfast,14172,8648
2019-05-17,Friday,lunch,14172,12037
2019-05-17,Friday,snacks,14172,5977
2019-05-17,Friday,dinner,14172,8534
2019-05-18,Saturday,breakfast,14172,4132
2019-05-18,Saturday,lunch,14172,7668
2019-05-18,Saturday,snacks,14172,4599
2019-05-18,Saturday,dinner,14172,6879
2019-05-19,Sunday,breakfast,14172,5076
2019-05-19,Sunday,lunch,14172,6059
2019-05-19,Sunday,snacks,14172,4692
2019-05-19,Sunday,dinner,14172,6977
2019-05-20,Monday,breakfast,14172,7677
2019-05-20,Monday,lunch,14172,9400
2019-05-20,Monday,snacks,14172,6929
2019-05-20,Monday,dinner,14172,9112
2019-05-21,Tuesday,breakfast,14172,7043
2019-05-21,Tuesday,lunch,14172,11280
2019-05-21,Tuesday,snacks,14172,6983
2019-05-21,Tuesday,dinner,14172,10742
2019-05-22,Wednesday,breakfast,14172,8716
2019-05-22,Wednesday,lunch,14172,10115
2019-05-22,Wednesday,snacks,14172,6102
2019-05-22,Wednesday,dinner,14172,9380
2019-05-23,Thursday,breakfast,14172,8918
2019-05-23,Thursday,lunch,14172,11379
2019-05-23,Thursday,snacks,14172,4795
2019-05-23,Thursday,dinner,14172,11139
2019-05-24,Friday,breakfast,14172,6954
2019-05-24,Friday,lunch,14172,10415
2019-05-24,Friday,snacks,14172,5954
2019-05-24,Friday,dinner,14172,9488
2019-05-25,Saturday,breakfast,14172,5597
2019-05-25,Saturday,lunch,14172,7988
2019-05-25,Saturday,snacks,14172,2668
2019-05-25,Saturday,dinner,14172,5415
2019-05-26,Sunday,breakfast,14172,5232
2019-05-26,Sunday,lunch,14172,7258
2019-05-26,Sunday,snacks,14172,2906
2019-05-26,Sunday,dinner,14172,6485
2019-05-27,Monday,breakfast,14172,7985
2019-05-27,Monday,lunch,14172,9371
2019-05-27,Monday,snacks,14172,5175
2019-05-27,Monday,dinner,14172,8618
2019-05-28,Tuesday,breakfast,14172,7395
2019-05-28,Tuesday,lunch,14172,11892
2019-05-28,Tuesday,snacks,14172,4770
2019-05-28,Tuesday,dinner,14172,8786
2019-05-29,Wednesday,breakfast,14172,7076
2019-05-29,Wednesday,lunch,14172,10716
2019-05-29,Wednesday,snacks,14172,6260
2019-05-29,Wednesday,dinner,14172,8733
2019-05-30,Thursday,breakfast,14172,8785
2019-05-30,Thursday,lunch,14172,11893
2019-05-30,Thursday,snacks,14172,4291
2019-05-30,Thursday,dinner,14172,11168
2019-05-31,Friday,breakfast,14172,6690
2019-05-31,Friday,lunch,14172,9462
2019-05-31,Friday,snacks,14172,4749
2019-05-31,Friday,dinner,14172,10486
2019-06-01,Saturday,breakfast,14172,6335
2019-06-01,Saturday,lunch,14172,6313
2019-06-01,Saturday,snacks,14172,3690
2019-06-01,Saturday,dinner,14172,5900
2019-06-02,Sunday,breakfast,14172,5912
2019-06-02,Sunday,lunch,14172,5800
2019-06-02,Sunday,snacks,14172,4663
2019-06-02,Sunday,dinner,14172,7836
2019-06-03,Monday,breakfast,14172,8107
2019-06-03,Monday,lunch,14172,10636
2019-06-03,Monday,snacks,14172,6677
2019-06-03,Monday,dinner,14172,10492
2019-06-04,Tuesday,breakfast,14172,7344
2019-06-04,Tuesday,lunch,14172,9254
2019-06-04,Tuesday,snacks,14172,5324
2019-06-04,Tuesday,dinner,14172,9922
2019-06-05,Wednesday,breakfast,14172,7504
2019-06-05,Wednesday,lunch,14172,10364
2019-06-05,Wednesday,snacks,14172,5497
2019-06-05,Wednesday,dinner,14172,8691
2019-06-06,Thursday,breakfast,14172,7534
2019-06-06,Thursday,lunch,14172,9368
2019-06-06,Thursday,snacks,14172,5057
2019-06-06,Thursday,dinner,14172,8689
2019-06-07,Friday,breakfast,14172,8245
2019-06-07,Friday,lunch,14172,11566
2019-06-07,Friday,snacks,14172,6579
2019-06-07,Friday,dinner,14172,9731
2019-06-08,Saturday,breakfast,14172,6353
2019-06-08,Saturday,lunch,14172,5725
2019-06-08,Saturday,snacks,14172,4052
2019-06-08,Saturday,dinner,14172,6280
2019-06-09,Sunday,breakfast,14172,3846
2019-06-09,Sunday,lunch,14172,6296
2019-06-09,Sunday,snacks,14172,3396
2019-06-09,Sunday,dinner,14172,7118
2019-06-10,Monday,breakfast,14172,8631
2019-06-10,Monday,lunch,14172,9338
2019-06-10,Monday,snacks,14172,6779
2019-06-10,Monday,dinner,14172,10410
2019-06-11,Tuesday,breakfast,14172,7081
2019-06-11,Tuesday,lunch,14172,11603
2019-06-11,Tuesday,snacks,14172,5073
2019-06-11,Tuesday,dinner,14172,9228
2019-06-12,Wednesday,breakfast,14172,8221
2019-06-12,Wednesday,lunch,14172,10773
2019-06-12,Wednesday,snacks,14172,5348
2019-06-12,Wednesday,dinner,14172,10789
2019-06-13,Thursday,breakfast,14172,8545
2019-06-13,Thursday,lunch,14172,11004
2019-06-13,Thursday,snacks,14172,7038
2019-06-13,Thursday,dinner,14172,10952
2019-06-14,Friday,breakfast,14172,6755
2019-06-14,Friday,lunch,14172,9676
2019-06-14,Friday,snacks,14172,6815
2019-06-14,Friday,dinner,14172,10112
2019-06-15,Saturday,breakfast,14172,4229
2019-06-15,Saturday,lunch,14172,7554
2019-06-15,Saturday,snacks,14172,4894
2019-06-15,Saturday,dinner,14172,7540
2019-06-16,Sunday,breakfast,14172,4016
2019-06-16,Sunday,lunch,14172,6349
2019-06-16,Sunday,snacks,14172,3207
2019-06-16,Sunday,dinner,14172,5529
2019-06-17,Monday,breakfast,14172,8996
2019-06-17,Monday,lunch,14172,11283
2019-06-17,Monday,snacks,14172,6216
2019-06-17,Monday,dinner,14172,11192
2019-06-18,Tuesday,breakfast,14172,9010
2019-06-18,Tuesday,lunch,14172,10684
2019-06-18,Tuesday,snacks,14172,6318
2019-06-18,Tuesday,dinner,14172,10964
2019-06-19,Wednesday,breakfast,14172,8473
2019-06-19,Wednesday,lunch,14172,11390
2019-06-19,Wednesday,snacks,14172,5505
2019-06-19,Wednesday,dinner,14172,9674
2019-06-20,Thursday,breakfast,14172,9028
2019-06-20,Thursday,lunch,14172,9685
2019-06-20,Thursday,snacks,14172,5452
2019-06-20,Thursday,dinner,14172,10037
2019-06-21,Friday,breakfast,14172,7377
2019-06-21,Friday,lunch,14172,9936
2019-06-21,Friday,snacks,14172,5914
2019-06-21,Friday,dinner,14172,10216
2019-06-22,Saturday,breakfast,14172,5093
2019-06-22,Saturday,lunch,14172,6333
2019-06-22,Saturday,snacks,14172,3678
2019-06-22,Saturday,dinner,14172,5273
2019-06-23,Sunday,breakfast,14172,4547
2019-06-23,Sunday,lunch,14172,7553
2019-06-23,Sunday,snacks,14172,3106
2019-06-23,Sunday,dinner,14172,5379
2019-06-24,Monday,breakfast,14172,6820
2019-06-24,Monday,lunch,14172,10422
2019-06-24,Monday,snacks,14172,4518
2019-06-24,Monday,dinner,14172,9905
2019-06-25,Tuesday,breakfast,14172,6690
2019-06-25,Tuesday,lunch,14172,10513
2019-06-25,Tuesday,snacks,14172,7064
2019-06-25,Tuesday,dinner,14172,10685
2019-06-26,Wednesday,breakfast,14172,7132
2019-06-26,Wednesday,lunch,14172,10376
2019-06-26,Wednesday,snacks,14172,5557
2019-06-26,Wednesday,dinner,14172,11336
2019-06-27,Thursday,breakfast,14172,6952
2019-06-27,Thursday,lunch,14172,11614
2019-06-27,Thursday,snacks,14172,5222
2019-06-27,Thursday,dinner,14172,8772
2019-06-28,Friday,breakfast,14172,8218
2019-06-28,Friday,lunch,14172,11768
2019-06-28,Friday,snacks,14172,4737
2019-06-28,Friday,dinner,14172,10153
2019-06-29,Saturday,breakfast,14172,5718
2019-06-29,Saturday,lunch,14172,7692
2019-06-29,Saturday,snacks,14172,4689
2019-06-29,Saturday,dinner,14172,5423
2019-06-30,Sunday,breakfast,14172,4812
2019-06-30,Sunday,lunch,14172,7137
2019-06-30,Sunday,snacks,14172,4246
2019-06-30,Sunday,dinner,14172,7780
2019-07-01,Monday,breakfast,14172,8652
2019-07-01,Monday,lunch,14172,10823
2019-07-01,Monday,snacks,14172,6980
2019-07-01,Monday,dinner,14172,9937
2019-07-02,Tuesday,breakfast,14172,6877
2019-07-02,Tuesday,lunch,14172,11065
2019-07-02,Tuesday,snacks,14172,4513
2019-07-02,Tuesday,dinner,14172,10591
2019-07-03,Wednesday,breakfast,14172,8362
2019-07-03,Wednesday,lunch,14172,10394
2019-07-03,Wednesday,snacks,14172,6524
2019-07-03,Wednesday,dinner,14172,9511
2019-07-04,Thursday,breakfast,14172,7087
2019-07-04,Thursday,lunch,14172,11660
2019-07-04,Thursday,snacks,14172,6744
2019-07-04,Thursday,dinner,14172,9552
2019-07-05,Friday,breakfast,14172,7219
2019-07-05,Friday,lunch,14172,11301
2019-07-05,Friday,snacks,14172,6588
2019-07-05,Friday,dinner,14172,9127
2019-07-06,Saturday,breakfast,14172,6182
2019-07-06,Saturday,lunch,14172,7492
2019-07-06,Saturday,snacks,14172,2392
2019-07-06,Saturday,dinner,14172,6740
2019-07-07,Sunday,breakfast,14172,6348
2019-07-07,Sunday,lunch,14172,7741
2019-07-07,Sunday,snacks,14172,4937
2019-07-07,Sunday,dinner,14172,6144
2019-07-08,Monday,breakfast,14172,9022
2019-07-08,Monday,lunch,14172,10027
2019-07-08,Monday,snacks,14172,6894
2019-07-08,Monday,dinner,14172,11293
2019-07-09,Tuesday,breakfast,14172,7131
2019-07-09,Tuesday,lunch,14172,11856
2019-07-09,Tuesday,snacks,14172,5180
2019-07-09,Tuesday,dinner,14172,10884
2019-07-10,Wednesday,breakfast,14172,8852
2019-07-10,Wednesday,lunch,14172,10613
2019-07-10,Wednesday,snacks,14172,4873
2019-07-10,Wednesday,dinner,14172,10487
2019-07-11,Thursday,breakfast,14172,8031
2019-07-11,Thursday,lunch,14172,9642
2019-07-11,Thursday,snacks,14172,4849
2019-07-11,Thursday,dinner,14172,10935
2019-07-12,Friday,breakfast,14172,9186
2019-07-12,Friday,lunch,14172,10660
2019-07-12,Friday,snacks,14172,5478
2019-07-12,Friday,dinner,14172,8811
2019-07-13,Saturday,breakfast,14172,3879
2019-07-13,Saturday,lunch,14172,5742
2019-07-13,Saturday,snacks,14172,4860
2019-07-13,Saturday,dinner,14172,6843
2019-07-14,Sunday,breakfast,14172,4076
2019-07-14,Sunday,lunch,14172,5509
2019-07-14,Sunday,snacks,14172,4835
2019-07-14,Sunday,dinner,14172,6325
2019-07-15,Monday,breakfast,14172,7006
2019-07-15,Monday,lunch,14172,9463
2019-07-15,Monday,snacks,14172,6754
2019-07-15,Monday,dinner,14172,9400
2019-07-16,Tuesday,breakfast,14172,6542
2019-07-16,Tuesday,lunch,14172,11774
2019-07-16,Tuesday,snacks,14172,6385
2019-07-16,Tuesday,dinner,14172,9146
2019-07-17,Wednesday,breakfast,14172,7049
2019-07-17,Wednesday,lunch,14172,10254
2019-07-17,Wednesday,snacks,14172,6680
2019-07-17,Wednesday,dinner,14172,9885
2019-07-18,Thursday,breakfast,14172,8389
2019-07-18,Thursday,lunch,14172,11781
2019-07-18,Thursday,snacks,14172,5655
2019-07-18,Thursday,dinner,14172,9318
2019-07-19,Friday,breakfast,14172,7587
2019-07-19,Friday,lunch,14172,11546
2019-07-19,Friday,snacks,14172,6267
2019-07-19,Friday,dinner,14172,9343
2019-07-20,Saturday,breakfast,14172,6038
2019-07-20,Saturday,lunch,14172,5954
2019-07-20,Saturday,snacks,14172,4747
2019-07-20,Saturday,dinner,14172,7447
2019-07-21,Sunday,breakfast,14172,4277
2019-07-21,Sunday,lunch,14172,5955
2019-07-21,Sunday,snacks,14172,4935
2019-07-21,Sunday,dinner,14172,6632
2019-07-22,Monday,breakfast,14172,6430
2019-07-22,Monday,lunch,14172,11178
2019-07-22,Monday,snacks,14172,6358
2019-07-22,Monday,dinner,14172,10051
2019-07-23,Tuesday,breakfast,14172,7747
2019-07-23,Tuesday,lunch,14172,10456
2019-07-23,Tuesday,snacks,14172,7055
2019-07-23,Tuesday,dinner,14172,10280
2019-07-24,Wednesday,breakfast,14172,7413
2019-07-24,Wednesday,lunch,14172,11716
2019-07-24,Wednesday,snacks,14172,5657
2019-07-24,Wednesday,dinner,14172,9485
2019-07-25,Thursday,breakfast,14172,9151
2019-07-25,Thursday,lunch,14172,11908
2019-07-25,Thursday,snacks,14172,5389
2019-07-25,Thursday,dinner,14172,10778
2019-07-26,Friday,breakfast,14172,7144
2019-07-26,Friday,lunch,14172,11705
2019-07-26,Friday,snacks,14172,7045
2019-07-26,Friday,dinner,14172,9969
2019-07-27,Saturday,breakfast,14172,5942
2019-07-27,Saturday,lunch,14172,7831
2019-07-27,Saturday,snacks,14172,3490
2019-07-27,Saturday,dinner,14172,5150
2019-07-28,Sunday,breakfast,14172,4261
2019-07-28,Sunday,lunch,14172,7042
2019-07-28,Sunday,snacks,14172,3986
2019-07-28,Sunday,dinner,14172,7339
2019-07-29,Monday,breakfast,14172,8596
2019-07-29,Monday,lunch,14172,9529
2019-07-29,Monday,snacks,14172,4720
2019-07-29,Monday,dinner,14172,10473
2019-07-30,Tuesday,breakfast,14172,7326
2019-07-30,Tuesday,lunch,14172,10859
2019-07-30,Tuesday,snacks,14172,6133
2019-07-30,Tuesday,dinner,14172,8925
2019-07-31,Wednesday,breakfast,14172,7093
2019-07-31,Wednesday,lunch,14172,10520
2019-07-31,Wednesday,snacks,14172,4654
2019-07-31,Wednesday,dinner,14172,11240
2019-08-01,Thursday,breakfast,14172,8799
2019-08-01,Thursday,lunch,14172,9347
2019-08-01,Thursday,snacks,14172,4258
2019-08-01,Thursday,dinner,14172,8715
2019-08-02,Friday,breakfast,14172,7126
2019-08-02,Friday,lunch,14172,9496
2019-08-02,Friday,snacks,14172,6342
2019-08-02,Friday,dinner,14172,10881
2019-08-03,Saturday,breakfast,14172,6341
2019-08-03,Saturday,lunch,14172,5958
2019-08-03,Saturday,snacks,14172,3382
2019-08-03,Saturday,dinner,14172,5399
2019-08-04,Sunday,breakfast,14172,5264
2019-08-04,Sunday,lunch,14172,5546
2019-08-04,Sunday,snacks,14172,3777
2019-08-04,Sunday,dinner,14172,6092
2019-08-05,Monday,breakfast,14172,6525
2019-08-05,Monday,lunch,14172,9377
2019-08-05,Monday,snacks,14172,5236
2019-08-05,Monday,dinner,14172,9762
2019-08-06,Tuesday,breakfast,14172,8789
2019-08-06,Tuesday,lunch,14172,10930
2019-08-06,Tuesday,snacks,14172,7035
2019-08-06,Tuesday,dinner,14172,8998
2019-08-07,Wednesday,breakfast,14172,7122
2019-08-07,Wednesday,lunch,14172,11510
2019-08-07,Wednesday,snacks,14172,6159
2019-08-07,Wednesday,dinner,14172,10621
2019-08-08,Thursday,breakfast,14172,7697
2019-08-08,Thursday,lunch,14172,10557
2019-08-08,Thursday,snacks,14172,5848
2019-08-08,Thursday,dinner,14172,8822
2019-08-09,Friday,breakfast,14172,8834
2019-08-09,Friday,lunch,14172,10154
2019-08-09,Friday,snacks,14172,4445
2019-08-09,Friday,dinner,14172,10451
2019-08-10,Saturday,breakfast,14172,3726
2019-08-10,Saturday,lunch,14172,7047
2019-08-10,Saturday,snacks,14172,3946
2019-08-10,Saturday,dinner,14172,5332
2019-08-11,Sunday,breakfast,14172,4867
2019-08-11,Sunday,lunch,14172,7501
2019-08-11,Sunday,snacks,14172,4227
2019-08-11,Sunday,dinner,14172,5227
2019-08-12,Monday,breakfast,14172,7306
2019-08-12,Monday,lunch,14172,11394
2019-08-12,Monday,snacks,14172,6417
2019-08-12,Monday,dinner,14172,8564
2019-08-13,Tuesday,breakfast,14172,8546
2019-08-13,Tuesday,lunch,14172,11078
2019-08-13,Tuesday,snacks,14172,6723
2019-08-13,Tuesday,dinner,14172,9369
2019-08-14,Wednesday,breakfast,14172,6930
2019-08-14,Wednesday,lunch,14172,10884
2019-08-14,Wednesday,snacks,14172,5323
2019-08-14,Wednesday,dinner,14172,10332
2019-08-15,Thursday,breakfast,14172,7974
2019-08-15,Thursday,lunch,14172,11624
2019-08-15,Thursday,snacks,14172,6301
2019-08-15,Thursday,dinner,14172,10595
2019-08-16,Friday,breakfast,14172,7884
2019-08-16,Friday,lunch,14172,11996
2019-08-16,Friday,snacks,14172,6276
2019-08-16,Friday,dinner,14172,10011
2019-08-17,Saturday,breakfast,14172,4604
2019-08-17,Saturday,lunch,14172,7615
2019-08-17,Saturday,snacks,14172,4100
2019-08-17,Saturday,dinner,14172,6195
2019-08-18,Sunday,breakfast,14172,5977
2019-08-18,Sunday,lunch,14172,5693
2019-08-18,Sunday,snacks,14172,4131
2019-08-18,Sunday,dinner,14172,6460
2019-08-19,Monday,breakfast,14172,8140
2019-08-19,Monday,lunch,14172,11768
2019-08-19,Monday,snacks,14172,5684
2019-08-19,Monday,dinner,14172,10614
2019-08-20,Tuesday,breakfast,14172,8055
2019-08-20,Tuesday,lunch,14172,10613
2019-08-20,Tuesday,snacks,14172,5419
2019-08-20,Tuesday,dinner,14172,9598
2019-08-21,Wednesday,breakfast,14172,8794
2019-08-21,Wednesday,lunch,14172,9634
2019-08-21,Wednesday,snacks,14172,6196
2019-08-21,Wednesday,dinner,14172,11255
2019-08-22,Thursday,breakfast,14172,8897
2019-08-22,Thursday,lunch,14172,11806
2019-08-22,Thursday,snacks,14172,6756
2019-08-22,Thursday,dinner,14172,9360
2019-08-23,Friday,breakfast,14172,7109
2019-08-23,Friday,lunch,14172,9605
2019-08-23,Friday,snacks,14172,4364
2019-08-23,Friday,dinner,14172,9828
2019-08-24,Saturday,breakfast,14172,4256
2019-08-24,Saturday,lunch,14172,5636
2019-08-24,Saturday,snacks,14172,2459
2019-08-24,Saturday,dinner,14172,6848
2019-08-25,Sunday,breakfast,14172,6331
2019-08-25,Sunday,lunch,14172,6903
2019-08-25,Sunday,snacks,14172,4909
2019-08-25,Sunday,dinner,14172,5933
2019-08-26,Monday,breakfast,14172,7122
2019-08-26,Monday,lunch,14172,11364
2019-08-26,Monday,snacks,14172,4599
2019-08-26,Monday,dinner,14172,9247
2019-08-27,Tuesday,breakfast,14172,7839
2019-08-27,Tuesday,lunch,14172,9307
2019-08-27,Tuesday,snacks,14172,4483
2019-08-27,Tuesday,dinner,14172,8993
2019-08-28,Wednesday,breakfast,14172,8602
2019-08-28,Wednesday,lunch,14172,10031
2019-08-28,Wednesday,snacks,14172,6932
2019-08-28,Wednesday,dinner,14172,11307
2019-08-29,Thursday,breakfast,14172,8615
2019-08-29,Thursday,lunch,14172,9719
2019-08-29,Thursday,snacks,14172,6882
2019-08-29,Thursday,dinner,14172,9310
2019-08-30,Friday,breakfast,14172,7149
2019-08-30,Friday,lunch,14172,9304
2019-08-30,Friday,snacks,14172,5148
2019-08-30,Friday,dinner,14172,11096
2019-08-31,Saturday,breakfast,14172,6356
2019-08-31,Saturday,lunch,14172,6166
2019-08-31,Saturday,snacks,14172,4037
2019-08-31,Saturday,dinner,14172,6709
2019-09-01,Sunday,breakfast,14172,4233
2019-09-01,Sunday,lunch,14172,8220
2019-09-01,Sunday,snacks,14172,3937
2019-09-01,Sunday,dinner,14172,5170
2019-09-02,Monday,breakfast,14172,7196
2019-09-02,Monday,lunch,14172,11050
2019-09-02,Monday,snacks,14172,5979
2019-09-02,Monday,dinner,14172,8984
2019-09-03,Tuesday,breakfast,14172,7950
2019-09-03,Tuesday,lunch,14172,11942
2019-09-03,Tuesday,snacks,14172,4317
2019-09-03,Tuesday,dinner,14172,9569
2019-09-04,Wednesday,breakfast,14172,8589
2019-09-04,Wednesday,lunch,14172,11558
2019-09-04,Wednesday,snacks,14172,7047
