date,day,meal_type,expected_students,actual_attendance
2024-02-09,Friday,lunch,9617,8505
2024-02-09,Friday,snacks,5665,5459
2024-02-09,Friday,dinner,9269,8351
2024-02-10,Saturday,breakfast,4214,4086
2024-02-10,Saturday,lunch,4930,4585
2024-02-10,Saturday,snacks,3466,3236
2024-02-10,Saturday,dinner,5196,4988
2024-02-11,Sunday,breakfast,4456,4101
2024-02-11,Sunday,lunch,5037,4615
2024-02-11,Sunday,snacks,3307,2958
2024-02-11,Sunday,dinner,4992,4832
2024-02-12,Monday,breakfast,7933,7531
2024-02-12,Monday,lunch,9668,8760
2024-02-12,Monday,snacks,6304,5987
2024-02-12,Monday,dinner,9724,9087
2024-02-13,Tuesday,breakfast,8609,7585
2024-02-13,Tuesday,lunch,8740,7859
2024-02-13,Tuesday,snacks,6128,5566
2024-02-13,Tuesday,dinner,8938,7966
2024-02-14,Wednesday,breakfast,7671,7057
2024-02-14,Wednesday,lunch,9492,9152
2024-02-14,Wednesday,snacks,6234,5943
2024-02-14,Wednesday,dinner,9674,9050
2024-02-15,Thursday,breakfast,7500,6792
2024-02-15,Thursday,lunch,8719,8180
2024-02-15,Thursday,snacks,6212,5792
2024-02-15,Thursday,dinner,10107,9257
2024-02-16,Friday,breakfast,7838,7556
2024-02-16,Friday,lunch,9544,8893
2024-02-16,Friday,snacks,5535,5363
2024-02-16,Friday,dinner,9382,8751
2024-02-17,Saturday,breakfast,4712,4523
2024-02-17,Saturday,lunch,4740,4294
2024-02-17,Saturday,snacks,3102,2950
2024-02-17,Saturday,dinner,5390,4928
2024-02-18,Sunday,breakfast,4204,3921
2024-02-18,Sunday,lunch,5149,4936
2024-02-18,Sunday,snacks,3206,2864
2024-02-18,Sunday,dinner,5079,4926
2024-02-19,Monday,breakfast,8145,7501
2024-02-19,Monday,lunch,9279,8417
2024-02-19,Monday,snacks,6142,5456
2024-02-19,Monday,dinner,9940,9375
2024-02-20,Tuesday,breakfast,7489,6780
2024-02-20,Tuesday,lunch,8889,8292
2024-02-20,Tuesday,snacks,5994,5702
2024-02-20,Tuesday,dinner,9174,8891
2024-02-21,Wednesday,breakfast,8176,7287
2024-02-21,Wednesday,lunch,9161,8743
2024-02-21,Wednesday,snacks,6319,6086
2024-02-21,Wednesday,dinner,9772,9404
2024-02-22,Thursday,breakfast,8465,7802
2024-02-22,Thursday,lunch,8527,8195
2024-02-22,Thursday,snacks,5608,5055
2024-02-22,Thursday,dinner,9401,8571
2024-02-23,Friday,breakfast,7889,7124
2024-02-23,Friday,lunch,8585,8320
2024-02-23,Friday,snacks,5538,5280
2024-02-23,Friday,dinner,10043,8968
2024-02-24,Saturday,breakfast,4403,3876
2024-02-24,Saturday,lunch,5009,4761
2024-02-24,Saturday,snacks,3553,3393
2024-02-24,Saturday,dinner,4822,4482
2024-02-25,Sunday,breakfast,4516,4057
2024-02-25,Sunday,lunch,4984,4822
2024-02-25,Sunday,snacks,3546,3202
2024-02-25,Sunday,dinner,5043,4628
2024-02-26,Monday,breakfast,7907,7187
2024-02-26,Monday,lunch,9703,9317
2024-02-26,Monday,snacks,5545,5238
2024-02-26,Monday,dinner,9939,9148
2024-02-27,Tuesday,breakfast,7718,7396
2024-02-27,Tuesday,lunch,9687,8747
2024-02-27,Tuesday,snacks,6439,5975
2024-02-27,Tuesday,dinner,9054,8272
2024-02-28,Wednesday,breakfast,8622,8332
2024-02-28,Wednesday,lunch,8452,7848
2024-02-28,Wednesday,snacks,6380,6140
2024-02-28,Wednesday,dinner,9965,9663
2024-02-29,Thursday,breakfast,8022,7494
2024-02-29,Thursday,lunch,9435,8461
2024-02-29,Thursday,snacks,5916,5268
2024-02-29,Thursday,dinner,9757,9034
2024-03-01,Friday,breakfast,7418,6804
2024-03-01,Friday,lunch,8796,8327
2024-03-01,Friday,snacks,5834,5657
2024-03-01,Friday,dinner,9422,8362
2024-03-02,Saturday,breakfast,4072,3715
2024-03-02,Saturday,lunch,4606,4331
2024-03-02,Saturday,snacks,3247,3039
2024-03-02,Saturday,dinner,5332,4770
2024-03-03,Sunday,breakfast,4640,4456
2024-03-03,Sunday,lunch,5010,4741
2024-03-03,Sunday,snacks,3369,3097
2024-03-03,Sunday,dinner,5565,5392
2024-03-04,Monday,breakfast,7969,7219
2024-03-04,Monday,lunch,9153,8539
2024-03-04,Monday,snacks,5705,5126
2024-03-04,Monday,dinner,10126,9455
2024-03-05,Tuesday,breakfast,7824,7284
2024-03-05,Tuesday,lunch,9513,9066
2024-03-05,Tuesday,snacks,6445,6112
2024-03-05,Tuesday,dinner,8832,8116
2024-03-06,Wednesday,breakfast,7500,6810
2024-03-06,Wednesday,lunch,8760,7709
2024-03-06,Wednesday,snacks,6165,5537
2024-03-06,Wednesday,dinner,9402,9118
2024-03-07,Thursday,breakfast,7798,7432
2024-03-07,Thursday,lunch,9636,9311
2024-03-07,Thursday,snacks,5894,5515
2024-03-07,Thursday,dinner,10001,9019
2024-03-08,Friday,breakfast,8192,7309
2024-03-08,Friday,lunch,9290,8510
2024-03-08,Friday,snacks,5529,5148
2024-03-08,Friday,dinner,10212,9814
2024-03-09,Saturday,breakfast,4704,4173
2024-03-09,Saturday,lunch,5163,4966
2024-03-09,Saturday,snacks,3458,3300
2024-03-09,Saturday,dinner,5220,4663
2024-03-10,Sunday,breakfast,4389,3891
2024-03-10,Sunday,lunch,4997,4732
2024-03-10,Sunday,snacks,3400,3251
2024-03-10,Sunday,dinner,5427,5203
2024-03-11,Monday,breakfast,8484,7640
2024-03-11,Monday,lunch,9139,8364
2024-03-11,Monday,snacks,5649,5225
2024-03-11,Monday,dinner,9328,8959
2024-03-12,Tuesday,breakfast,8021,7077
2024-03-12,Tuesday,lunch,9173,8887
2024-03-12,Tuesday,snacks,5902,5434
2024-03-12,Tuesday,dinner,9604,8754
2024-03-13,Wednesday,breakfast,7903,7241
2024-03-13,Wednesday,lunch,9163,8223
2024-03-13,Wednesday,snacks,5537,4918
2024-03-13,Wednesday,dinner,9545,8554
2024-03-14,Thursday,breakfast,7657,6865
2024-03-14,Thursday,lunch,8392,7564
2024-03-14,Thursday,snacks,6333,5898
2024-03-14,Thursday,dinner,9576,8621
2024-03-15,Friday,breakfast,8227,7832
2024-03-15,Friday,lunch,9712,8658
2024-03-15,Friday,snacks,5565,4984
2024-03-15,Friday,dinner,8956,8420
2024-03-16,Saturday,breakfast,4376,3961
2024-03-16,Saturday,lunch,4820,4415
2024-03-16,Saturday,snacks,3209,3046
2024-03-16,Saturday,dinner,5539,4993
2024-03-17,Sunday,breakfast,4085,3849
2024-03-17,Sunday,lunch,4682,4282
2024-03-17,Sunday,snacks,3077,2900
2024-03-17,Sunday,dinner,5083,4822
2024-03-18,Monday,breakfast,7521,7167
2024-03-18,Monday,lunch,8389,7612
2024-03-18,Monday,snacks,6036,5443
2024-03-18,Monday,dinner,9450,8963
2024-03-19,Tuesday,breakfast,8365,7788
2024-03-19,Tuesday,lunch,8537,8130
2024-03-19,Tuesday,snacks,6309,5739
2024-03-19,Tuesday,dinner,9686,8683
2024-03-20,Wednesday,breakfast,8525,7948
2024-03-20,Wednesday,lunch,9209,8274
2024-03-20,Wednesday,snacks,6437,5912
2024-03-20,Wednesday,dinner,10155,9589
2024-03-21,Thursday,breakfast,8517,7903
2024-03-21,Thursday,lunch,8870,8522
2024-03-21,Thursday,snacks,6159,5509
2024-03-21,Thursday,dinner,9680,8899
2024-03-22,Friday,breakfast,7536,6902
2024-03-22,Friday,lunch,9007,8077
2024-03-22,Friday,snacks,5925,5677
2024-03-22,Friday,dinner,9014,7993
2024-03-23,Saturday,breakfast,4444,4157
2024-03-23,Saturday,lunch,4922,4703
2024-03-23,Saturday,snacks,3534,3314
2024-03-23,Saturday,dinner,5523,5052
2024-03-24,Sunday,breakfast,4193,3902
2024-03-24,Sunday,lunch,5013,4679
2024-03-24,Sunday,snacks,3364,3220
2024-03-24,Sunday,dinner,5023,4787
2024-03-25,Monday,breakfast,7448,6710
2024-03-25,Monday,lunch,9699,9147
2024-03-25,Monday,snacks,6151,5767
2024-03-25,Monday,dinner,10012,9559
2024-03-26,Tuesday,breakfast,8478,7645
2024-03-26,Tuesday,lunch,9331,8589
2024-03-26,Tuesday,snacks,6180,5666
2024-03-26,Tuesday,dinner,8964,7929
2024-03-27,Wednesday,breakfast,8547,8147
2024-03-27,Wednesday,lunch,8399,7916
2024-03-27,Wednesday,snacks,6237,5794
2024-03-27,Wednesday,dinner,9856,8955
2024-03-28,Thursday,breakfast,8312,7395
2024-03-28,Thursday,lunch,9052,8542
2024-03-28,Thursday,snacks,5671,5103
2024-03-28,Thursday,dinner,10202,9579
2024-03-29,Friday,breakfast,7791,6948
2024-03-29,Friday,lunch,8697,8407
2024-03-29,Friday,snacks,6296,5986
2024-03-29,Friday,dinner,9150,8355
2024-03-30,Saturday,breakfast,4552,4055
2024-03-30,Saturday,lunch,5000,4452
2024-03-30,Saturday,snacks,3179,2946
2024-03-30,Saturday,dinner,5139,4589
2024-03-31,Sunday,breakfast,4183,3963
2024-03-31,Sunday,lunch,5283,4781
2024-03-31,Sunday,snacks,3306,2962
2024-03-31,Sunday,dinner,4992,4813
2024-04-01,Monday,breakfast,7753,6842
2024-04-01,Monday,lunch,8284,7677
2024-04-01,Monday,snacks,5698,5038
2024-04-01,Monday,dinner,8830,8072
2024-04-02,Tuesday,breakfast,7476,7005
2024-04-02,Tuesday,lunch,9028,7950
2024-04-02,Tuesday,snacks,5827,5336
2024-04-02,Tuesday,dinner,8835,7935
2024-04-03,Wednesday,breakfast,8483,7917
2024-04-03,Wednesday,lunch,8749,8447
2024-04-03,Wednesday,snacks,6329,5907
2024-04-03,Wednesday,dinner,9075,8491
2024-04-04,Thursday,breakfast,7460,6986
2024-04-04,Thursday,lunch,8340,7591
2024-04-04,Thursday,snacks,5890,5204
2024-04-04,Thursday,dinner,10094,9355
2024-04-05,Friday,breakfast,8074,7277
2024-04-05,Friday,lunch,9400,8400
2024-04-05,Friday,snacks,5856,5265
2024-04-05,Friday,dinner,8768,8227
2024-04-06,Saturday,breakfast,4206,3930
2024-04-06,Saturday,lunch,5149,4946
2024-04-06,Saturday,snacks,3461,3347
2024-04-06,Saturday,dinner,5188,4778
2024-04-07,Sunday,breakfast,4285,3827
2024-04-07,Sunday,lunch,5251,4888
2024-04-07,Sunday,snacks,3437,3196
2024-04-07,Sunday,dinner,4898,4671
2024-04-08,Monday,breakfast,7546,6689
2024-04-08,Monday,lunch,8412,7981
2024-04-08,Monday,snacks,5997,5727
2024-04-08,Monday,dinner,8783,8424
2024-04-09,Tuesday,breakfast,8476,7752
2024-04-09,Tuesday,lunch,9637,9062
2024-04-09,Tuesday,snacks,5876,5689
2024-04-09,Tuesday,dinner,9579,9004
2024-04-10,Wednesday,breakfast,8090,7532
2024-04-10,Wednesday,lunch,9146,8061
2024-04-10,Wednesday,snacks,6397,5686
2024-04-10,Wednesday,dinner,8796,8189
2024-04-11,Thursday,breakfast,7738,6841
2024-04-11,Thursday,lunch,9364,8845
2024-04-11,Thursday,snacks,6243,5530
2024-04-11,Thursday,dinner,9797,9043
2024-04-12,Friday,breakfast,7754,7472
2024-04-12,Friday,lunch,9033,7957
2024-04-12,Friday,snacks,6374,5846
2024-04-12,Friday,dinner,8764,7940
2024-04-13,Saturday,breakfast,4324,4007
2024-04-13,Saturday,lunch,4955,4803
2024-04-13,Saturday,snacks,3560,3380
2024-04-13,Saturday,dinner,5141,4661
2024-04-14,Sunday,breakfast,4295,4151
2024-04-14,Sunday,lunch,5072,4836
2024-04-14,Sunday,snacks,3213,2975
2024-04-14,Sunday,dinner,5099,4899
2024-04-15,Monday,breakfast,7429,6760
2024-04-15,Monday,lunch,8629,7607
2024-04-15,Monday,snacks,5742,5397
2024-04-15,Monday,dinner,9862,9103
2024-04-16,Tuesday,breakfast,7624,6781
2024-04-16,Tuesday,lunch,8493,8063
2024-04-16,Tuesday,snacks,6166,5575
2024-04-16,Tuesday,dinner,9065,8489
2024-04-17,Wednesday,breakfast,8511,8046
2024-04-17,Wednesday,lunch,9405,8619
2024-04-17,Wednesday,snacks,6004,5432
2024-04-17,Wednesday,dinner,10227,9137
2024-04-18,Thursday,breakfast,7729,7206
2024-04-18,Thursday,lunch,8679,8390
2024-04-18,Thursday,snacks,5929,5375
2024-04-18,Thursday,dinner,9890,9313
2024-04-19,Friday,breakfast,8083,7819
2024-04-19,Friday,lunch,9530,9075
2024-04-19,Friday,snacks,5801,5490
2024-04-19,Friday,dinner,9063,8636
2024-04-20,Saturday,breakfast,4646,4422
2024-04-20,Saturday,lunch,5310,5109
2024-04-20,Saturday,snacks,3459,3310
2024-04-20,Saturday,dinner,5246,4967
2024-04-21,Sunday,breakfast,4216,3813
2024-04-21,Sunday,lunch,5270,4694
2024-04-21,Sunday,snacks,3343,3074
2024-04-21,Sunday,dinner,4931,4404
2024-04-22,Monday,breakfast,7946,7541
2024-04-22,Monday,lunch,8709,7711
2024-04-22,Monday,snacks,5806,5484
2024-04-22,Monday,dinner,10215,9104
2024-04-23,Tuesday,breakfast,8515,7540
2024-04-23,Tuesday,lunch,8728,7707
2024-04-23,Tuesday,snacks,5733,5547
2024-04-23,Tuesday,dinner,9153,8616
2024-04-24,Wednesday,breakfast,8494,7802
2024-04-24,Wednesday,lunch,8469,7566
2024-04-24,Wednesday,snacks,6443,6063
2024-04-24,Wednesday,dinner,9396,9091
2024-04-25,Thursday,breakfast,8390,7876
2024-04-25,Thursday,lunch,9372,8601
2024-04-25,Thursday,snacks,6163,5806
2024-04-25,Thursday,dinner,9569,8527
2024-04-26,Friday,breakfast,7569,6896
2024-04-26,Friday,lunch,9094,8341
2024-04-26,Friday,snacks,6138,5697
2024-04-26,Friday,dinner,9127,8568
2024-04-27,Saturday,breakfast,4570,4296
2024-04-27,Saturday,lunch,5341,4803
2024-04-27,Saturday,snacks,3079,2979
2024-04-27,Saturday,dinner,4891,4684
2024-04-28,Sunday,breakfast,4056,3814
2024-04-28,Sunday,lunch,4688,4522
2024-04-28,Sunday,snacks,3445,3192
2024-04-28,Sunday,dinner,4823,4609
2024-04-29,Monday,breakfast,7943,7067
2024-04-29,Monday,lunch,9536,8497
2024-04-29,Monday,snacks,6068,5492
2024-04-29,Monday,dinner,10072,9283
2024-04-30,Tuesday,breakfast,7609,6930
2024-04-30,Tuesday,lunch,8681,7652
2024-04-30,Tuesday,snacks,6451,6189
2024-04-30,Tuesday,dinner,10042,9076
2024-05-01,Wednesday,breakfast,7899,7486
2024-05-01,Wednesday,lunch,8923,8241
2024-05-01,Wednesday,snacks,5906,5687
2024-05-01,Wednesday,dinner,8843,8096
2024-05-02,Thursday,breakfast,7738,7155
2024-05-02,Thursday,lunch,8614,7869
2024-05-02,Thursday,snacks,6014,5786
2024-05-02,Thursday,dinner,9797,9466
2024-05-03,Friday,breakfast,8342,8037
2024-05-03,Friday,lunch,8876,8100
2024-05-03,Friday,snacks,6164,5840
2024-05-03,Friday,dinner,9837,9455
2024-05-04,Saturday,breakfast,4204,4065
2024-05-04,Saturday,lunch,4714,4312
2024-05-04,Saturday,snacks,3214,3101
2024-05-04,Saturday,dinner,5107,4922
2024-05-05,Sunday,breakfast,4278,3800
2024-05-05,Sunday,lunch,5241,4870
2024-05-05,Sunday,snacks,3046,2933
2024-05-05,Sunday,dinner,4990,4468
2024-05-06,Monday,breakfast,8041,7254
2024-05-06,Monday,lunch,9680,8727
2024-05-06,Monday,snacks,6297,5906
2024-05-06,Monday,dinner,8893,8282
2024-05-07,Tuesday,breakfast,8566,7952
2024-05-07,Tuesday,lunch,9718,9112
2024-05-07,Tuesday,snacks,5805,5197
2024-05-07,Tuesday,dinner,9296,8831
2024-05-08,Wednesday,breakfast,7769,7122
2024-05-08,Wednesday,lunch,8892,8195
2024-05-08,Wednesday,snacks,5875,5624
2024-05-08,Wednesday,dinner,9954,9302
2024-05-09,Thursday,breakfast,8314,7785
2024-05-09,Thursday,lunch,8628,7873
2024-05-09,Thursday,snacks,6466,6014
2024-05-09,Thursday,dinner,9190,8749
2024-05-10,Friday,breakfast,7511,6707
2024-05-10,Friday,lunch,8862,8220
2024-05-10,Friday,snacks,5872,5423
2024-05-10,Friday,dinner,9094,8431
2024-05-11,Saturday,breakfast,4354,3876
2024-05-11,Saturday,lunch,5109,4588
2024-05-11,Saturday,snacks,3266,3153
2024-05-11,Saturday,dinner,5049,4749
2024-05-12,Sunday,breakfast,4659,4311
2024-05-12,Sunday,lunch,5078,4584
2024-05-12,Sunday,snacks,3412,3112
2024-05-12,Sunday,dinner,5028,4813
2024-05-13,Monday,breakfast,7365,6502
2024-05-13,Monday,lunch,8488,7893
2024-05-13,Monday,snacks,5563,4951
2024-05-13,Monday,dinner,9068,8003
2024-05-14,Tuesday,breakfast,7398,6680
2024-05-14,Tuesday,lunch,9548,9076
2024-05-14,Tuesday,snacks,5826,5381
2024-05-14,Tuesday,dinner,9442,9104
2024-05-15,Wednesday,breakfast,8517,7658
2024-05-15,Wednesday,lunch,8895,8150
2024-05-15,Wednesday,snacks,5997,5649
2024-05-15,Wednesday,dinner,9624,8843
2024-05-16,Thursday,breakfast,7642,6827
2024-05-16,Thursday,lunch,8961,8307
2024-05-16,Thursday,snacks,6051,5474
2024-05-16,Thursday,dinner,9477,9065
2024-05-17,Friday,breakfast,8071,7450
2024-05-17,Friday,lunch,8487,7556
2024-05-17,Friday,snacks,6202,5744
2024-05-17,Friday,dinner,9690,9027
2024-05-18,Saturday,breakfast,4326,4121
2024-05-18,Saturday,lunch,5062,4455
2024-05-18,Saturday,snacks,3395,3211
2024-05-18,Saturday,dinner,5402,4772
2024-05-19,Sunday,breakfast,4411,3900
2024-05-19,Sunday,lunch,4738,4300
2024-05-19,Sunday,snacks,3314,3189
2024-05-19,Sunday,dinner,5529,5132
2024-05-20,Monday,breakfast,7604,7232
2024-05-20,Monday,lunch,8348,7567
2024-05-20,Monday,snacks,5607,5193
2024-05-20,Monday,dinner,8815,8446
2024-05-21,Tuesday,breakfast,8497,8013
2024-05-21,Tuesday,lunch,9299,8377
2024-05-21,Tuesday,snacks,6265,5545
2024-05-21,Tuesday,dinner,8891,8580
2024-05-22,Wednesday,breakfast,7858,7085
2024-05-22,Wednesday,lunch,8856,8054
2024-05-22,Wednesday,snacks,6207,5826
2024-05-22,Wednesday,dinner,9335,8256
2024-05-23,Thursday,breakfast,8576,7587
2024-05-23,Thursday,lunch,8912,8430
2024-05-23,Thursday,snacks,6333,5912
2024-05-23,Thursday,dinner,10225,9498
2024-05-24,Friday,breakfast,8202,7771
2024-05-24,Friday,lunch,9368,9083
2024-05-24,Friday,snacks,5652,5187
2024-05-24,Friday,dinner,10102,9569
2024-05-25,Saturday,breakfast,4333,3876
2024-05-25,Saturday,lunch,5187,4914
2024-05-25,Saturday,snacks,3322,3180
2024-05-25,Saturday,dinner,5063,4629
2024-05-26,Sunday,breakfast,4657,4368
2024-05-26,Sunday,lunch,5130,4956
2024-05-26,Sunday,snacks,3417,3058
2024-05-26,Sunday,dinner,5067,4861
2024-05-27,Monday,breakfast,7975,7596
2024-05-27,Monday,lunch,9622,8588
2024-05-27,Monday,snacks,6396,5828
2024-05-27,Monday,dinner,10251,9638
2024-05-28,Tuesday,breakfast,8105,7208
2024-05-28,Tuesday,lunch,8555,7971
2024-05-28,Tuesday,snacks,5979,5509
2024-05-28,Tuesday,dinner,9219,8229
2024-05-29,Wednesday,breakfast,8023,7216
2024-05-29,Wednesday,lunch,9512,8825
2024-05-29,Wednesday,snacks,5962,5445
2024-05-29,Wednesday,dinner,9432,9025
2024-05-30,Thursday,breakfast,7557,6716
2024-05-30,Thursday,lunch,9464,8998
2024-05-30,Thursday,snacks,6284,5662
2024-05-30,Thursday,dinner,9170,8375
2024-05-31,Friday,breakfast,8340,7485
2024-05-31,Friday,lunch,9172,8310
2024-05-31,Friday,snacks,6329,5696
2024-05-31,Friday,dinner,9011,7957
2024-06-01,Saturday,breakfast,4248,4108
2024-06-01,Saturday,lunch,4733,4471
2024-06-01,Saturday,snacks,3362,3142
2024-06-01,Saturday,dinner,5334,5105
2024-06-02,Sunday,breakfast,4066,3624
2024-06-02,Sunday,lunch,4956,4394
2024-06-02,Sunday,snacks,3324,3213
2024-06-02,Sunday,dinner,5135,4806
2024-06-03,Monday,breakfast,8268,7490
2024-06-03,Monday,lunch,8286,7574
2024-06-03,Monday,snacks,5874,5293
2024-06-03,Monday,dinner,10022,9149
2024-06-04,Tuesday,breakfast,8617,7924
2024-06-04,Tuesday,lunch,9623,9222
2024-06-04,Tuesday,snacks,6353,5862
2024-06-04,Tuesday,dinner,8987,8148
2024-06-05,Wednesday,breakfast,7511,7210
2024-06-05,Wednesday,lunch,8531,8213
2024-06-05,Wednesday,snacks,5866,5528
